folder,mean-peroxisome,mean-vacuole,mean-ER,mean-golgi,mean-mitochondria,mean-LD,count-peroxisome,count-vacuole,count-ER,count-golgi,count-mitochondria,count-LD,cell-volume
EYrainbow_glucose,0.29137333333333326,0.0,9.11102,0.22758153846153842,4.359393333333334,0.53792,6.0,0.0,1.0,13.0,3.0,1.0,37.96593975262359
EYrainbow_glucose,0.6387799999999999,0.0,9.5817,0.16809999999999997,14.77599,0.0,1.0,0.0,1.0,2.0,2.0,0.0,99.6849610762333
EYrainbow_glucose,0.7665359999999999,0.0,14.456599999999998,0.20171999999999995,35.6372,0.06724,5.0,0.0,1.0,13.0,1.0,1.0,100.95482549178419
EYrainbow_glucose,0.26896,47.51222342011063,37.419059999999995,0.4232164705882352,73.79589999999999,0.10085999999999998,8.0,1.0,1.0,17.0,1.0,4.0,358.5306302848389
EYrainbow_glucose,0.5631349999999999,0.0,17.4824,0.3541306666666666,23.416329999999995,0.03362,4.0,0.0,1.0,15.0,2.0,1.0,154.45154672536287
EYrainbow_glucose,0.30257999999999996,0.0,6.01798,0.786708,11.935099999999998,0.289132,5.0,0.0,1.0,5.0,1.0,5.0,15.417891668207977
EYrainbow_glucose,0.7060199999999999,15.417891668207977,18.591859999999997,0.15465199999999996,43.773239999999994,0.10085999999999999,2.0,1.0,1.0,5.0,1.0,1.0,131.5949251526983
EYrainbow_glucose,0.43705999999999995,0.0,8.9093,0.29137333333333326,4.45465,0.4874899999999999,4.0,0.0,1.0,12.0,4.0,2.0,46.525830235142195
EYrainbow_glucose,0.753088,0.0,23.735719999999997,0.29952363636363627,28.223989999999997,0.25775333333333333,5.0,0.0,1.0,11.0,2.0,6.0,187.80855795663894
EYrainbow_glucose,1.0086,22.697898829838866,24.240019999999998,0.33619999999999994,49.72398,0.16034153846153842,2.0,1.0,1.0,7.0,1.0,13.0,144.30190471230236
EYrainbow_glucose,0.4650766666666666,4.073790542548951,33.687239999999996,0.35759454545454533,60.078939999999996,0.06724,6.0,1.0,1.0,11.0,1.0,6.0,215.03341595202266
EYrainbow_glucose,0.06724,0.0,0.03362,0.2465466666666666,0.8068799999999999,0.0,2.0,0.0,1.0,3.0,1.0,0.0,1.1429665508288385
EYrainbow_glucose,0.9077399999999999,0.0,26.45894,0.176505,59.272059999999996,0.28336857142857136,3.0,0.0,1.0,12.0,1.0,7.0,202.06883867503868
EYrainbow_glucose,0.6992959999999999,0.0,13.380759999999999,0.378225,9.959924999999998,0.15128999999999995,5.0,0.0,1.0,4.0,4.0,6.0,208.51753516332965
EYrainbow_glucose,0.9161449999999999,0.0,14.893659999999999,0.5974015384615383,34.66222,0.22189199999999998,4.0,0.0,1.0,13.0,1.0,5.0,72.00987437359753
EYrainbow_glucose,0.24794749999999993,0.0,5.78264,0.14120399999999997,18.22204,0.0,8.0,0.0,1.0,5.0,1.0,0.0,30.86009587113336
EYrainbow_glucose,0.4401163636363636,4.073790542548951,15.095379999999999,0.208444,6.001169999999999,0.06724,11.0,1.0,1.0,5.0,4.0,1.0,98.42047060371831
EYrainbow_glucose,0.9917899999999998,0.0,21.718519999999998,0.462275,13.758984999999997,0.31698857142857134,4.0,0.0,1.0,12.0,4.0,14.0,245.1682976987086
EYrainbow_glucose,1.082564,0.0,35.805299999999995,0.3698199999999999,32.00624,0.0912542857142857,5.0,0.0,1.0,10.0,2.0,7.0,292.77208640944986
EYrainbow_glucose,1.0870466666666665,0.0,9.37998,0.393354,18.89444,0.22693499999999997,3.0,0.0,1.0,10.0,1.0,4.0,37.05112414695959
EYrainbow_glucose,2.8577,0.0,18.79358,0.45386999999999994,40.007799999999996,0.09245499999999998,1.0,0.0,1.0,18.0,1.0,4.0,89.72132166091416
EYrainbow_glucose,0.1729028571428571,4.517971950768122,12.607499999999998,0.43332444444444435,19.600459999999998,0.34964799999999996,7.0,1.0,1.0,9.0,2.0,5.0,83.6740118739616
EYrainbow_glucose,1.0758400000000001,0.0,24.139159999999997,0.3563719999999999,51.169639999999994,0.36982,6.0,0.0,1.0,5.0,1.0,1.0,198.8698906888236
EYrainbow_glucose,0.52111,0.0,22.290059999999997,0.2497485714285714,43.201699999999995,0.04482666666666666,4.0,0.0,1.0,7.0,1.0,3.0,158.87129929474068
EYrainbow_glucose,0.6836066666666666,0.0,7.093819999999999,3.1602799999999998,19.230639999999998,0.0,3.0,0.0,1.0,1.0,1.0,0.0,31.721276101781488
EYrainbow_glucose,0.35721249999999993,0.6221521646031185,33.38466,0.5883499999999999,59.877219999999994,0.06724,8.0,1.0,1.0,12.0,1.0,1.0,186.24566961464075
EYrainbow_glucose,1.2495433333333332,81.29474283500852,42.76463999999999,0.4076424999999999,31.266599999999997,0.06051599999999999,6.0,1.0,1.0,8.0,2.0,5.0,380.09778736088504
EYrainbow_glucose,1.10946,33.46716326857771,33.25018,0.45807249999999994,60.885819999999995,0.12607499999999996,5.0,1.0,1.0,16.0,1.0,8.0,269.5006686427376
EYrainbow_glucose,0.3881581818181818,0.0,19.768559999999997,0.3646476923076923,22.861599999999996,0.07564499999999999,11.0,0.0,1.0,13.0,2.0,4.0,127.44677193728886
EYrainbow_glucose,0.1440857142857143,0.0,5.98436,1.3279899999999998,6.0516,0.3137866666666666,7.0,0.0,1.0,2.0,2.0,3.0,20.41655302617019
EYrainbow_glucose,0.06724,28.324476781101964,19.53322,0.10085999999999998,55.641099999999994,0.0,1.0,1.0,1.0,2.0,1.0,0.0,89.72132166091416
