organelle,wavelength,intensity,experiment,field_of_view
peroxisome,463.8,0.47136177309125277,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,473.78,0.782151901557521,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,483.765,0.7275168241646125,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,493.745,0.6489502048488279,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,503.735,0.25519865221905697,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,463.8,0.3482636028055366,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,473.78,0.4287228142085847,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,483.765,0.5886265630918506,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,493.745,0.7607142860746815,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,503.735,0.3230942366479836,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,463.8,0.4380859633876431,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,473.78,0.7851179097291149,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,483.765,0.7401368355903962,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,493.745,0.6542542582159865,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,503.735,0.28153118615814804,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
vacuole,463.8,0.37592716720610836,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
vacuole,473.78,0.44516288346758837,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
vacuole,483.765,0.5866224831874476,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
vacuole,493.745,0.7558759930002359,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
vacuole,503.735,0.35526838580315684,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,463.8,0.45164182875405684,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
peroxisome,473.78,0.7859283574096879,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
peroxisome,483.765,0.7397118192534831,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
peroxisome,493.745,0.6594616623721158,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
peroxisome,503.735,0.2827720868239855,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
vacuole,463.8,0.40086654011676925,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
vacuole,473.78,0.4461074699363845,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
vacuole,483.765,0.5959293364788865,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
vacuole,493.745,0.7598598027981411,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
vacuole,503.735,0.35534909487115285,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
peroxisome,463.8,0.4588979999311269,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
peroxisome,473.78,0.7817548348506148,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
peroxisome,483.765,0.7373996835070519,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
peroxisome,493.745,0.6611340686366013,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
peroxisome,503.735,0.28630102784986744,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
vacuole,463.8,0.4093163186914921,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
vacuole,473.78,0.4503395493884119,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
vacuole,483.765,0.6036838719341975,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
vacuole,493.745,0.7618319123155581,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
vacuole,503.735,0.3633243085658136,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
peroxisome,463.8,0.4566350623389397,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
peroxisome,473.78,0.7821513476549251,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
peroxisome,483.765,0.7427841250828918,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
peroxisome,493.745,0.6634259418164651,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
peroxisome,503.735,0.2887765921723442,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
vacuole,463.8,0.40786515170303134,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
vacuole,473.78,0.4522339790195427,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
vacuole,483.765,0.6124802886215688,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
vacuole,493.745,0.7667422919431526,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
vacuole,503.735,0.3637276790790127,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
peroxisome,463.8,0.4607450897155574,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
peroxisome,473.78,0.7869181993229816,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
peroxisome,483.765,0.7479921912811008,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
peroxisome,493.745,0.666470488911251,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
