organelle,wavelength,intensity,experiment,field_of_view
mitochondria,580.875,0.45691283995243887,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
mitochondria,590.87,0.45714889693682687,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
mitochondria,600.865,0.6529775716359855,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
mitochondria,610.86,0.24038335350423695,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
LD,570.885,0.43798469954838415,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
LD,580.875,0.43455641260919,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
LD,590.87,0.4924281041376658,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
LD,600.865,0.7010294604115129,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
LD,610.86,0.30280780728581624,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
mitochondria,570.885,0.5223104791585287,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
mitochondria,580.875,0.4808604048572983,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
mitochondria,590.87,0.5004718618154116,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
mitochondria,600.865,0.6697104533429222,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
mitochondria,610.86,0.2854883450010735,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
LD,570.885,0.4783443006971282,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
LD,580.875,0.48202217022476196,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
LD,590.87,0.5162564197516474,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
LD,600.865,0.6891204552006998,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
LD,610.86,0.3282450415338158,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
mitochondria,570.885,0.5643216698636924,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
mitochondria,580.875,0.4872459028099355,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
mitochondria,590.87,0.5046916840918028,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
mitochondria,600.865,0.662407449916923,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
mitochondria,610.86,0.2779276902752225,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
LD,570.885,0.49811853479448515,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
LD,580.875,0.4896821621155294,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
LD,590.87,0.5333783598159141,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
LD,600.865,0.6924563802146967,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
LD,610.86,0.324181577040838,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
mitochondria,570.885,0.5777396857086496,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
mitochondria,580.875,0.4901844469971612,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
mitochondria,590.87,0.5174529489827259,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
mitochondria,600.865,0.6624770475877739,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
mitochondria,610.86,0.28506707494968486,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
LD,570.885,0.5143302982399268,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
LD,580.875,0.4912849714942741,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
LD,590.87,0.5402641001969504,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
LD,600.865,0.6893942624245759,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
LD,610.86,0.33707624926004837,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
mitochondria,570.885,0.5346287731539128,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
mitochondria,580.875,0.4782954280352466,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
mitochondria,590.87,0.5439313745648148,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
mitochondria,600.865,0.6934542111504374,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
mitochondria,610.86,0.30051203891507694,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
LD,570.885,0.4860773482921179,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
LD,580.875,0.49907357796435864,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
LD,590.87,0.577168201563415,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
LD,600.865,0.7073829183116764,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
LD,610.86,0.325206101075373,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
mitochondria,570.885,0.6050656490744128,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
mitochondria,580.875,0.5148402630479249,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
mitochondria,590.87,0.5342382408522147,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
mitochondria,600.865,0.662800582104974,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
mitochondria,610.86,0.2772663049824807,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
LD,570.885,0.523909035141389,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
LD,580.875,0.5199357290424391,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
LD,590.87,0.5669701215681056,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
LD,600.865,0.6981170723833361,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
LD,610.86,0.3349003201564311,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
