830,35,NaN,NaN,NaN
406,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
977,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
433,NaN,NaN,NaN,NaN
2188,53,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN
5371,17,NaN,NaN,NaN
590,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
423,NaN,NaN,NaN,NaN
219,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
52,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
3768,37,491,NaN,NaN
816,14,NaN,NaN,NaN
28,2868,1879,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
951,15,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
2246,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
3449,12,44,NaN,NaN
1229,NaN,NaN,NaN,NaN
6729,177,NaN,NaN,NaN
29860,44,NaN,NaN,NaN
2488,71,1281,17,NaN
738,NaN,NaN,NaN,NaN
71,68,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
3505,858,140,NaN,NaN
2269,11,NaN,NaN,NaN
3484,NaN,NaN,NaN,NaN
58,123,4635,189,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
241,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
25,354,577,481,NaN
112,120,203,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
21,NaN,NaN,NaN,NaN
578,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
266,724,NaN,NaN,NaN
