filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/golgi_EYrainbow_glu-200_field-3,golgi,3734,8113785,0.2945027210347819,639.9388753056235
EYrainbow_glucose/golgi_EYrainbow_glu-200_field-4,golgi,2164,8118409,0.2686530105524519,1007.8720049658597
EYrainbow_glucose/golgi_EYrainbow_glu-200_field-5,golgi,4559,8110443,0.2845640097372199,506.23824979714124
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-0,golgi,8103,8097558,0.28032242441015703,280.13415899813185
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-1,golgi,7278,8101627,0.2930305592462858,326.19185086765714
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-2,golgi,7995,8100147,0.3037960253828324,307.7914275943307
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-3,golgi,9003,8097453,0.31033056426872563,279.11664541036157
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-4,golgi,8732,8100828,0.3406147604930566,315.9942268684662
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-5,golgi,7207,8105669,0.3465736955999038,389.78932435681656
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-0,golgi,8015,8100357,0.3070057838893783,310.2752901520665
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-1,golgi,9544,8096299,0.3163931708934195,268.4004309630366
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-2,golgi,12574,8091414,0.3587446504992867,230.8534664764622
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-3,golgi,6842,8110714,0.4344126984126984,514.9659682539683
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-4,golgi,7271,8108933,0.41475101249215673,462.5482288517483
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-5,golgi,9344,8098506,0.33421560912797765,289.66685742900063
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-6,golgi,6826,8111825,0.4662886809208279,554.124257121388
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-0,LD,10569,8111281,0.6961074886386089,534.2344069024567
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-1,LD,7620,8115132,0.6724320508295094,716.1253088598659
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-2,LD,11216,8110545,0.7045668697782524,509.4883472579936
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-3,LD,9872,8112478,0.7058487058487058,580.042757042757
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-4,LD,1062,8124818,0.6452004860267315,4936.098420413123
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-5,LD,5722,8117993,0.6754810530043679,958.3275882422382
EYrainbow_glucose/LD_EYrainbow_glu-0_field-0,LD,10674,8110370,0.6632285323723127,503.93749223313034
EYrainbow_glucose/LD_EYrainbow_glu-0_field-1,LD,14520,8103522,0.6329003574230668,353.2177665417139
EYrainbow_glucose/LD_EYrainbow_glu-0_field-2,LD,7512,8114631,0.6348347840784248,685.7627820501986
EYrainbow_glucose/LD_EYrainbow_glu-0_field-3,LD,1285,8124355,0.6092935040303461,3852.230915125652
EYrainbow_glucose/LD_EYrainbow_glu-0_field-4,LD,6914,8115466,0.6286597563193308,737.9038006910347
EYrainbow_glucose/LD_EYrainbow_glu-0_field-5,LD,6513,8116161,0.632145976899932,787.7473551392799
EYrainbow_glucose/LD_EYrainbow_glu-100_field-0,LD,3641,8119413,0.516380655226209,1151.526450148915
EYrainbow_glucose/LD_EYrainbow_glu-100_field-1,LD,4182,8118430,0.520537714712472,1010.5090863828727
EYrainbow_glucose/LD_EYrainbow_glu-100_field-2,LD,6112,8114506,0.5111222612477003,678.5838769024921
EYrainbow_glucose/LD_EYrainbow_glu-100_field-3,LD,4653,8117177,0.5010229352858835,874.0365026380963
EYrainbow_glucose/LD_EYrainbow_glu-200_field-0,LD,4726,8118091,0.5644332975038815,969.5558342290697
EYrainbow_glucose/LD_EYrainbow_glu-200_field-1,LD,3065,8120920,0.5528499278499278,1464.81240981241
EYrainbow_glucose/LD_EYrainbow_glu-200_field-2,LD,3788,8119948,0.5813382443216697,1246.1553100061387
EYrainbow_glucose/LD_EYrainbow_glu-200_field-3,LD,2574,8121784,0.55,1735.4239316239316
EYrainbow_glucose/LD_EYrainbow_glu-200_field-4,LD,2225,8122472,0.5573647294589178,2034.687374749499
EYrainbow_glucose/LD_EYrainbow_glu-200_field-5,LD,3439,8120681,0.5946740446135224,1404.2332699291026
