experiment,filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose,ER_EYrainbow_glu-0-5_field-0,ER,8466.0,8430.0,0.027912589349299712,0.02779389655263366
EYrainbow_glucose,ER_EYrainbow_glu-0-5_field-1,ER,8271.0,8353.0,0.02911063166304734,0.029399239061955563
EYrainbow_glucose,ER_EYrainbow_glu-0-5_field-2,ER,8603.0,8620.0,0.028923091405441023,0.0289802450209115
EYrainbow_glucose,ER_EYrainbow_glu-0-5_field-3,ER,7249.0,7564.0,0.027775861936838557,0.028982841728548328
EYrainbow_glucose,ER_EYrainbow_glu-0-5_field-4,ER,4694.0,4581.0,0.03053623820087302,0.02980113063446939
EYrainbow_glucose,ER_EYrainbow_glu-0-5_field-5,ER,4830.0,5093.0,0.02757809511302451,0.029079759505307213
EYrainbow_glucose,ER_EYrainbow_glu-0_field-0,ER,7528.0,7560.0,0.027015485098060326,0.02713032244172902
EYrainbow_glucose,ER_EYrainbow_glu-0_field-1,ER,13170.0,13643.0,0.028110092526386563,0.029119665325549875
EYrainbow_glucose,ER_EYrainbow_glu-0_field-2,ER,7890.0,8315.0,0.027212245165429066,0.028678050513376768
EYrainbow_glucose,ER_EYrainbow_glu-0_field-3,ER,9664.0,9997.0,0.02797761559149902,0.028941662155237552
EYrainbow_glucose,ER_EYrainbow_glu-0_field-4,ER,5323.0,5372.0,0.029545139177975743,0.029817112091693725
EYrainbow_glucose,ER_EYrainbow_glu-0_field-5,ER,5615.0,5886.0,0.028031551095801507,0.029384454096150966
EYrainbow_glucose,ER_EYrainbow_glu-100_field-0,ER,11239.0,11021.0,0.030186642028164172,0.029601119476145327
EYrainbow_glucose,ER_EYrainbow_glu-100_field-1,ER,10430.0,10546.0,0.028751950336036697,0.029071722746293674
EYrainbow_glucose,ER_EYrainbow_glu-100_field-2,ER,13694.0,13504.0,0.030256430651483215,0.02983663206642539
EYrainbow_glucose,ER_EYrainbow_glu-100_field-3,ER,10622.0,10203.0,0.03211692957073616,0.03085003129450396
EYrainbow_glucose,ER_EYrainbow_glu-200_field-0,ER,11621.0,11089.0,0.031299237517069006,0.029866383687013012
EYrainbow_glucose,ER_EYrainbow_glu-200_field-1,ER,6331.0,6296.0,0.030137142802739998,0.029970534052448435
EYrainbow_glucose,ER_EYrainbow_glu-200_field-2,ER,5456.0,5722.0,0.02914638902095698,0.030567382327330615
EYrainbow_glucose,ER_EYrainbow_glu-200_field-3,ER,4458.0,4453.0,0.03143798086077163,0.031402720675867225
EYrainbow_glucose,ER_EYrainbow_glu-200_field-4,ER,3520.0,3500.0,0.02986670286873075,0.029697005693340234
EYrainbow_glucose,ER_EYrainbow_glu-200_field-5,ER,4973.0,5040.0,0.02860775222338553,0.028993177399127903
EYrainbow_glucose,ER_EYrainbow_glu-50_field-0,ER,10104.0,9805.0,0.02914192266315179,0.02827954787333762
EYrainbow_glucose,ER_EYrainbow_glu-50_field-1,ER,11497.0,11375.0,0.02993145210629219,0.029613835583984838
EYrainbow_glucose,ER_EYrainbow_glu-50_field-2,ER,15641.0,15843.0,0.03047419016705179,0.03086775748459827
EYrainbow_glucose,ER_EYrainbow_glu-50_field-3,ER,21649.0,21539.0,0.03218440359471051,0.03202087251265508
EYrainbow_glucose,ER_EYrainbow_glu-50_field-4,ER,2.0,22343.0,2.7420436176878266e-06,0.030632740274999553
EYrainbow_glucose,ER_EYrainbow_glu-50_field-5,ER,21547.0,21344.0,0.032209506042178655,0.03190605174568437
EYrainbow_glucose,ER_EYrainbow_glu-5_field-0,ER,9897.0,9906.0,0.02798315977572757,0.02800860672308349
EYrainbow_glucose,ER_EYrainbow_glu-5_field-1,ER,12734.0,12897.0,0.028075915653193874,0.028435297956591908
EYrainbow_glucose,ER_EYrainbow_glu-5_field-2,ER,21092.0,21737.0,0.028928657640062323,0.02981330509776383
EYrainbow_glucose,ER_EYrainbow_glu-5_field-3,ER,15865.0,16081.0,0.03053075205911785,0.03094642444769456
EYrainbow_glucose,ER_EYrainbow_glu-5_field-4,ER,18313.0,18209.0,0.030988298799421287,0.030812315450153564
EYrainbow_glucose,ER_EYrainbow_glu-5_field-5,ER,14410.0,15641.0,0.026285979047830997,0.028531505779814337
EYrainbow_glucose,ER_EYrainbow_glu-5_field-6,ER,19496.0,19604.0,0.02916646096352846,0.029328031428447473
EYrainbow_glucose,golgi_EYrainbow_glu-0-5_field-0,golgi,310.0,371.0,0.012255870957539338,0.01466751008144224
EYrainbow_glucose,golgi_EYrainbow_glu-0-5_field-1,golgi,235.0,277.0,0.01415833232919629,0.016688757681648392
EYrainbow_glucose,golgi_EYrainbow_glu-0-5_field-2,golgi,225.0,276.0,0.014727058515512502,0.01806519177902867
EYrainbow_glucose,golgi_EYrainbow_glu-0-5_field-3,golgi,295.0,344.0,0.0142209795603548,0.016583108368684922
EYrainbow_glucose,golgi_EYrainbow_glu-0-5_field-4,golgi,145.0,189.0,0.017012788924087762,0.022175290390707498
