filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/golgi_EYrainbow_glu-200_field-4,golgi,275,336,0.03414028553693358,0.041713221601489756
EYrainbow_glucose/golgi_EYrainbow_glu-200_field-5,golgi,498,518,0.031084201984894824,0.03233256351039261
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-0,golgi,777,900,0.026880232477686294,0.031135404414308447
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-1,golgi,729,822,0.029351370938519146,0.03309578451503805
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-2,golgi,782,720,0.029714633126876163,0.027358741497891095
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-3,golgi,945,970,0.0325738512977836,0.03343559339560856
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-4,golgi,871,848,0.03397565922920893,0.03307848338274302
EYrainbow_glucose/golgi_EYrainbow_glu-50_field-5,golgi,730,714,0.0351045924501082,0.03433517672517432
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-0,golgi,832,796,0.03186884743555368,0.030489906921515302
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-1,golgi,928,924,0.0307641306149511,0.03063152660367976
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-2,golgi,1217,1272,0.03472182596291013,0.03629101283880171
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-3,golgi,652,620,0.0413968253968254,0.03936507936507937
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-4,golgi,643,706,0.0366778848896241,0.04027151902344418
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-5,golgi,1006,1028,0.03598254524644109,0.03676943987409686
EYrainbow_glucose/golgi_EYrainbow_glu-5_field-6,golgi,615,654,0.04201106632966733,0.044675182731060865
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-0,LD,918,860,0.06046235921754594,0.05664229730619772
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-1,LD,608,659,0.053653370984821744,0.058153900458877514
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-2,LD,831,907,0.05220177146805704,0.0569759406997927
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-3,LD,820,896,0.05863005863005863,0.06406406406406406
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-4,LD,89,94,0.05407047387606318,0.05710814094775213
EYrainbow_glucose/LD_EYrainbow_glu-0-5_field-5,LD,445,474,0.05253216857513871,0.055955613268799435
EYrainbow_glucose/LD_EYrainbow_glu-0_field-0,LD,844,822,0.052441903815086365,0.05107493475829502
EYrainbow_glucose/LD_EYrainbow_glu-0_field-1,LD,1049,1066,0.04572399965129457,0.04646499869235463
EYrainbow_glucose/LD_EYrainbow_glu-0_field-2,LD,567,534,0.04791684272796417,0.045128031775542976
