experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
rpmc,200,3,1,golgi,100,10499,101,27,25,14,6,14,3,4,2,0,8,4,5,21,4,10,2,1,12,7,19,12,2,14,9,21,13,13,9,9,3,4,7,1,8,4,3,3,1,6,11,3,8,6,2,11,3,18,10,1,4,5,7,6,2,2,2,9,8,5,5,3,3,12,6,6,9,12,10,2,3,3,2,5,2,10,4,1,5,5,2,3,9,11,8,7,6,11,7,5,9,9,5,6,1,8,7,11,22,14
rpmc,200,3,1,golgi,101,8624,117,18,19,22,7,15,3,9,4,6,1,1,2,5,9,9,4,0,6,2,11,14,4,22,7,18,14,11,8,10,6,8,3,3,5,4,6,3,6,2,8,2,5,4,1,9,7,11,9,6,3,5,9,5,4,2,5,5,14,6,3,2,4,13,6,5,5,6,6,5,5,7,8,5,5,3,3,6,12,5,3,5,4,12,7,11,8,7,7,9,11,13,12,6,15,12,17,12,5,14
rpmc,200,3,1,golgi,102,8210,245,87,25,40,20,16,9,11,10,11,8,10,8,9,12,11,4,5,12,6,14,12,5,15,5,17,9,17,7,7,5,12,7,6,4,4,3,2,4,5,1,4,2,4,4,3,3,16,12,4,8,8,1,1,7,7,4,8,12,2,3,4,1,11,10,7,3,9,6,11,11,9,10,7,3,7,8,7,4,5,1,9,4,11,9,16,19,12,16,16,9,12,8,9,7,16,24,13,51,34
rpmc,200,3,1,golgi,103,8915,82,36,14,8,3,11,4,1,3,1,4,7,3,6,3,6,2,4,0,0,8,5,4,9,6,14,18,5,6,11,3,5,6,2,1,4,2,3,1,2,4,0,1,1,4,5,3,14,2,1,3,1,3,5,0,3,2,3,2,0,0,1,1,0,2,1,2,5,3,1,2,5,7,1,0,1,3,0,1,1,2,3,1,2,3,3,10,7,3,10,8,7,4,9,3,13,20,14,19,9
rpmc,200,3,1,golgi,104,7878,37,10,14,12,2,8,1,3,2,1,0,1,0,1,9,4,1,1,11,2,13,8,4,10,2,12,5,2,2,2,3,6,1,3,2,4,4,0,5,1,1,0,4,2,3,6,3,17,4,3,5,1,8,5,3,5,1,13,9,9,2,2,3,5,3,2,4,4,3,1,6,3,8,4,3,3,1,5,3,7,2,3,3,6,5,9,4,6,2,2,5,0,4,2,0,2,4,4,0,1
rpmc,200,3,1,golgi,105,7529,14,5,4,7,1,6,0,0,0,0,1,0,0,7,1,1,2,0,12,2,7,1,0,7,3,2,5,3,4,2,3,4,0,1,1,1,1,0,2,0,3,0,1,0,0,3,0,18,0,0,6,1,6,2,1,1,0,7,7,2,2,0,2,5,2,2,5,2,2,0,4,3,3,2,0,1,1,1,1,0,3,1,2,1,3,2,4,2,1,2,0,3,0,2,4,2,1,2,0,0
rpmc,200,3,1,golgi,106,10450,108,40,25,14,10,20,12,3,1,3,2,2,4,17,7,12,3,1,15,8,11,8,9,12,9,8,20,10,7,7,2,5,6,0,6,6,5,6,6,0,8,3,4,10,2,10,2,15,9,5,2,4,6,8,2,3,5,4,13,6,3,5,9,16,5,4,5,7,7,3,3,5,4,7,9,1,4,3,6,5,5,7,7,7,8,8,3,6,6,7,11,8,4,5,2,12,19,20,25,20
rpmc,200,3,1,golgi,109,3130,98,33,11,8,9,12,3,6,5,4,5,6,5,3,4,3,3,3,4,4,4,8,2,6,2,16,9,3,8,5,3,4,1,6,2,7,3,0,4,5,3,0,0,2,4,4,2,15,6,5,5,6,1,2,2,1,0,2,2,7,2,1,5,1,2,3,1,3,1,2,2,0,1,3,1,4,1,1,1,2,2,1,3,1,3,1,7,6,6,4,4,6,4,4,6,6,5,10,27,31
rpmc,200,3,1,golgi,110,6752,177,87,27,24,10,15,8,10,10,7,8,9,11,16,6,11,2,0,8,6,14,6,4,7,11,17,9,8,4,11,9,3,3,7,1,8,6,3,6,5,6,4,5,10,7,3,9,21,13,5,8,6,7,6,12,3,4,6,11,4,1,2,3,9,12,3,7,8,1,2,2,5,3,1,2,2,2,3,5,0,4,3,1,4,3,2,5,5,3,10,7,6,7,7,7,4,13,19,53,38
rpmc,200,3,1,golgi,112,7740,69,13,16,8,5,20,4,1,3,2,2,2,2,7,7,9,0,3,12,3,15,11,2,16,0,15,6,4,5,12,3,4,3,1,5,4,0,2,4,2,6,2,1,4,3,4,1,20,4,8,12,8,4,2,1,3,2,5,7,4,1,1,4,12,3,2,7,6,6,3,5,6,6,3,3,5,2,4,11,2,5,3,2,7,0,0,0,1,7,6,7,5,4,4,1,1,2,7,17,11
