experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0-5,3,6,peroxisome,58,5198,18,3,20,1,0,1,1,1,3,0,1,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,3,2,0,0,1,0,3,0,0
glu,0-5,3,6,peroxisome,59,7266,31,61,33,9,19,11,2,14,13,9,11,7,3,5,6,5,2,11,8,7,6,2,3,1,1,1,3,5,2,0,4,4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,2,2,1,2,1,1,0,3,3,0,1,4,2,0,2,1,0,2,1,2,2,1,1,0,5,4,13,39,22
glu,0-5,3,6,peroxisome,60,15786,112,124,91,43,62,42,19,28,20,15,28,24,24,29,27,28,22,20,26,12,13,18,10,4,10,8,5,3,6,8,3,8,1,0,2,2,1,0,1,4,8,1,1,0,4,1,2,1,0,2,1,1,0,0,1,2,0,1,2,1,2,1,4,3,2,2,1,1,2,0,8,4,5,4,7,4,9,4,6,5,13,5,11,6,3,5,6,8,11,8,5,11,11,10,14,15,19,58,53,30
glu,0-5,3,6,peroxisome,61,9810,84,120,38,20,40,12,20,13,14,22,16,21,11,13,8,13,10,15,15,17,6,10,7,4,7,7,1,1,3,3,2,2,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,2,2,0,5,2,2,4,4,1,4,1,4,3,2,3,4,7,1,5,3,6,8,7,3,3,13,4,6,7,4,6,1,6,15,4,4,10,19,28,55,27
glu,0-5,3,6,peroxisome,63,9454,78,53,15,21,28,12,13,14,19,10,5,8,2,10,10,9,5,8,13,4,3,0,2,2,6,3,4,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,6,1,0,4,0,0,1,1,3,1,4,3,5,5,4,4,2,2,2,1,5,2,5,12,3,13,8,2,2,5,10,6,5,5,6,7,10,18,14,25,27
glu,0-5,3,6,peroxisome,65,9039,81,30,28,12,8,11,3,4,8,1,4,6,2,10,7,10,7,7,3,2,1,3,1,0,4,2,1,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,3,0,0,1,0,1,1,7,1,0,3,1,1,2,1,1,4,0,4,3,3,2,0,2,1,0,1,3,5,3,1,3,1,3,4,4,7,6,1,4,3,1,0,2,3,9,7,16
glu,0-5,3,6,peroxisome,67,10349,59,13,47,12,14,8,1,4,7,3,4,2,3,4,3,3,4,5,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,1,2,2,3,3,0,1,3,1,2,0,1,1,2,2,2,3,3,2,2,3,1,3,5,3,1,5,2,5,6,1,3,5,1,0,2,0,0,0,6,0,0
glu,0-5,3,6,peroxisome,68,8711,87,86,21,13,23,20,12,17,10,13,13,23,3,5,5,18,11,15,12,4,8,8,3,2,3,3,5,3,1,0,2,1,1,0,1,0,1,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,1,0,1,2,0,2,7,0,3,6,3,1,1,1,0,0,2,3,2,7,4,4,3,2,1,3,7,6,16,7,4,7,5,8,4,6,8,1,5,6,3,4,5,19,33,29,23
glu,0-5,3,6,peroxisome,69,4648,18,40,2,9,21,13,4,5,6,2,5,2,3,2,0,2,1,0,3,1,1,2,0,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,3,0,1,6,1,1,0,0,1,4,0,2,1,4,1,5,2,3,5,2,2,5,7,11,3,4
glu,0-5,3,6,peroxisome,71,8594,30,41,20,7,15,8,6,9,6,4,1,1,2,4,0,8,7,3,5,1,3,1,1,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,2,3,6,6,3,8,4,3,2,1,7,0,1,4,2,2,3,8,10,4,5
