fov,cell_idx,organelle_name,organelle_idx,organelle_vol
0,0,vacuole,0.0,1.80207209977497
0,0,vacuole,1.0,3.01112025230767
0,1,vacuole,0.0,0.284127698246975
0,1,vacuole,1.0,1.99579989744929
0,1,vacuole,2.0,4.00137233647823
0,3,vacuole,0.0,0.06189032492435
0,3,vacuole,1.0,0.0520516221008174
0,4,vacuole,0.0,2.33422181917472
0,4,vacuole,1.0,4.83184499954402
0,5,vacuole,0.0,1.65720021626582
0,5,vacuole,1.0,0.0930160982921913
0,5,vacuole,2.0,1.51433455214401
0,6,vacuole,0.0,3.29012011086091
0,7,vacuole,0.0,1.41937040143992
0,8,vacuole,0.0,0.559062551226686
0,9,vacuole,0.0,3.43694187244365
0,10,vacuole,0.0,3.96533251935583
0,11,vacuole,0.0,0.0867399363756587
0,12,vacuole,0.0,2.90661960226435
0,13,vacuole,0.0,4.35654766118693
0,14,vacuole,0.0,1.37992236741525
0,15,vacuole,0.0,0.112348054321044
0,16,vacuole,0.0,1.53226357197617
0,16,vacuole,1.0,2.01153323873659
0,17,vacuole,0.0,0.738056505515581
0,18,vacuole,0.0,2.02653388572995
0,19,vacuole,0.0,3.65483496949914
0,20,vacuole,0.0,0.764537887696364
0,22,vacuole,0.0,1.08729813118476
0,22,vacuole,1.0,5.76444268228254
0,23,vacuole,0.0,0.728657203998529
0,24,vacuole,0.0,2.62385319486514
0,25,vacuole,0.0,2.25635235497036
0,26,vacuole,0.0,0.0722710803799161
0,27,vacuole,0.0,0.0803155728254592
0,28,vacuole,0.0,1.38938977617443
0,29,vacuole,0.0,1.81462247137474
0,29,vacuole,1.0,1.11920992154146
0,29,vacuole,2.0,1.37225202133371
0,30,vacuole,0.0,1.00990173257913
0,31,vacuole,0.0,1.53667763586681
0,31,vacuole,1.0,2.25820743687481
0,31,vacuole,2.0,0.0252734733900317
0,31,vacuole,3.0,0.0386800497127346
0,32,vacuole,0.0,1.43923820981399
0,32,vacuole,1.0,1.45926644353871
0,32,vacuole,2.0,3.60114119784642
0,33,vacuole,0.0,4.25880262869534
0,33,vacuole,1.0,1.21201432975252
0,33,vacuole,2.0,0.25180928948688
0,34,vacuole,0.0,0.681474910060918
0,35,vacuole,0.0,0.790119195009867
0,35,vacuole,1.0,1.14190909625425
0,35,vacuole,2.0,4.10951504533249
0,36,vacuole,0.0,0.597681214787373
0,37,vacuole,0.0,0.871978488892102
0,38,vacuole,0.0,2.80313834006301
0,38,vacuole,1.0,0.147145585204531
0,39,vacuole,0.0,1.41837201167246
0,40,vacuole,0.0,5.30553555141976
0,41,vacuole,0.0,0.0179579884734992
0,43,vacuole,0.0,4.84048146721007
0,44,vacuole,0.0,2.98107420745488
0,44,vacuole,1.0,1.84160130362141
0,45,vacuole,0.0,1.32498891783029
0,45,vacuole,1.0,1.41840421811527
0,45,vacuole,2.0,0.206693131190314
0,46,vacuole,0.0,0.694541173210023
0,47,vacuole,0.0,1.42844014597406
0,48,vacuole,0.0,4.64167034668418
0,50,vacuole,0.0,1.96538040832182
0,51,vacuole,0.0,2.99549425441207
0,52,vacuole,0.0,0.703759395843588
0,53,vacuole,0.0,0.623171523260783
0,54,vacuole,0.0,1.07704739507223
0,55,vacuole,0.0,1.12346530712243
0,56,vacuole,0.0,5.34511430308742
0,57,vacuole,0.0,2.50366650080231
0,58,vacuole,0.0,3.52878584467896
0,59,vacuole,0.0,1.535714048706
0,60,vacuole,0.0,0.0810161267507871
0,60,vacuole,1.0,2.55806812053855
0,61,vacuole,0.0,1.89099079870845
0,62,vacuole,0.0,0.410623439764276
0,63,vacuole,0.0,3.60968817950494
0,64,vacuole,0.0,3.05372822966087
0,65,vacuole,0.0,1.70687698853479
0,65,vacuole,1.0,1.73865208966825
0,66,vacuole,0.0,3.20204173999123
0,66,vacuole,1.0,3.22983616936636
0,66,vacuole,2.0,1.96391461845793
0,66,vacuole,3.0,0.303884864740006
0,67,vacuole,0.0,1.63565114509748
0,68,vacuole,0.0,2.50965502408753
0,69,vacuole,0.0,0.233238993817137
0,70,vacuole,0.0,1.18089394529111
0,71,vacuole,0.0,2.77921028283201
0,72,vacuole,0.0,0.710520748552205
0,73,vacuole,0.0,0.29554764462653
0,73,vacuole,1.0,2.4575320011985
0,74,vacuole,0.0,2.08247203343932
0,75,vacuole,0.0,3.47006383691326
0,76,vacuole,0.0,1.14354020245721
0,76,vacuole,1.0,0.239226481920542
0,77,vacuole,0.0,2.33751820603954
0,78,vacuole,0.0,1.1588830234802
0,78,vacuole,1.0,0.54697855161077
0,79,vacuole,0.0,1.04599643849966
0,79,vacuole,1.0,1.42272107831419
0,79,vacuole,2.0,0.0891288236386436
0,81,vacuole,0.0,4.95816883284715
0,82,vacuole,0.0,1.34830555472682
0,83,vacuole,0.0,2.62279444227373
0,84,vacuole,0.0,4.64235286328665
0,85,vacuole,0.0,0.721407122388103
0,86,vacuole,0.0,2.15147065809004
0,87,vacuole,0.0,5.13161131167162
0,89,vacuole,0.0,1.84809639163876
0,90,vacuole,0.0,1.48820917583334
0,90,vacuole,1.0,1.648907092933
0,90,vacuole,2.0,0.760482349352264
0,91,vacuole,0.0,0.387421895535581
0,91,vacuole,1.0,0.333307481812683
0,91,vacuole,2.0,0.334323732362071
0,92,vacuole,0.0,1.20866474734897
0,93,vacuole,0.0,2.47858707528731
0,94,vacuole,0.0,0.534229626626536
0,97,vacuole,0.0,2.72334555386213
0,97,vacuole,1.0,0.427838303932745
0,98,vacuole,0.0,4.42512267094903
0,99,vacuole,0.0,2.48768836177001
