YFP Volume Fraction,YFP Total Volume,Organelle Total Volume,Organelle Volume Fraction,Cell Volume
0,0,7.181559897,0.07629151,94.13314602
0,0,5.510180962,0.139406247,39.52606916
0,0,4.56763915,0.093768045,48.71210831
0,0,3.975304539,0.096097614,41.3673594
0.003263912,0.248790245,12.52728049,0.16434702,76.22456725
0.001963929,0.1267422,9.957741658,0.154299777,64.53503614
0,0,4.1334856,0.09141305,45.21767508
0.003148976,0.129089278,10.90726854,0.266069562,40.99404857
0,0,2.137959408,0.043448097,49.20720475
0,0,14.22335599,0.209127618,68.01280544
0.005793525,1.030367145,49.20053612,0.276643638,177.8480666
0.00508267,0.312161345,10.49030147,0.170805079,61.41680069
0.004801585,0.2746081,13.01577301,0.227583733,57.19113956
0,0,7.89138454,0.109820607,71.85704732
0.002957091,0.157254211,3.995564644,0.075134709,53.17867987
0.007288044,0.373185367,11.15357451,0.217821358,51.20514644
0,0,5.670027375,0.164249697,34.52077831
0.008718712,0.704123334,24.08735964,0.298258484,80.76001502
0.003419254,0.227666545,11.14467192,0.167378399,66.58369286
0,0,2.931310267,0.060052423,48.81252285
0,0,23.79617872,0.763253504,31.17729378
0.004310177,0.375532445,25.36029071,0.291072942,87.12692623
0,0,5.148138893,0.129641473,39.71058631
0.002370017,0.140824667,2.76592297,0.046549253,59.41927666
0,0,7.192459101,0.122517469,58.70558034
0,0,4.801206052,0.10490108,45.76889057
0.002159609,0.107965578,5.710646121,0.114228656,49.99311312
0.004854154,0.183072067,8.078196228,0.214193269,37.71451949
0.007534963,0.448291856,13.99024252,0.235150274,59.494902
0.007668682,0.612587301,20.20396005,0.252923544,79.8816895
0,0,2.604763373,0.070068305,37.17463079
0,0,2.013967216,0.016441468,122.4931498
0.003720182,0.356755823,25.62714745,0.267235011,95.89741759
0.000794253,0.335632123,27.41237219,0.064869686,422.5759994
0.002124314,0.161948367,5.703896443,0.074819332,76.23559747
0,0,7.711252817,0.191032268,40.36623182
0,0,5.924298594,0.080241696,73.83067559
0.004831805,0.225319467,10.96327743,0.235099171,46.63256515
0.006685255,0.2534844,4.556907088,0.120181304,37.91693828
0.001989163,0.0844948,3.959089635,0.09320426,42.47756094
0.002201276,0.159601289,17.42609131,0.240346612,72.50400218
0,0,20.73534738,0.331062921,62.63264788
0,0,3.034922141,0.051227631,59.24385115
0.007920031,1.180580123,28.01864701,0.187965685,149.0625646
0.000719922,0.049288633,8.762720919,0.127990553,68.46381007
0,0,7.96919164,0.22044032,36.15124336
0.006513718,0.647793467,24.62880516,0.2476485,99.45065345
