organelle,index,segmented,average,standard_deviation
peroxisome,1,164.0,164.37875,5.802042609073118
peroxisome,2,108.0,105.2094,7.9698024843781425
peroxisome,3,0.0,0.0,0.0
peroxisome,4,61.0,59.273,2.084795193778036
peroxisome,5,33.0,26.3097,3.876749399948364
peroxisome,6,34.0,32.61575,1.6743064049032363
peroxisome,7,173.0,168.72295,5.805910204050696
peroxisome,8,53.0,49.13205,3.9571091465235075
peroxisome,9,47.0,39.7103,7.012786458320259
peroxisome,10,123.0,119.2016,5.353742377066719
peroxisome,11,394.0,390.5436,13.982056323731499
peroxisome,12,40.0,37.8374,1.945549084448912
peroxisome,13,99.0,96.1107,3.8125641647059525
peroxisome,14,131.0,128.5079,5.267574165590837
peroxisome,15,133.0,134.49185,5.167391370653088
peroxisome,16,0.0,0.0,0.0
peroxisome,17,89.0,87.3149,2.988651533718844
peroxisome,18,52.0,51.96555,3.2861015196582106
peroxisome,19,176.0,175.7878,3.478328788369495
peroxisome,20,204.0,202.936,4.587112817448466
peroxisome,21,102.0,98.41565,2.845045707453572
peroxisome,22,6.0,5.9167,0.2763351407258946
peroxisome,23,99.0,97.52275,2.3761486564396592
peroxisome,24,135.0,132.82365,3.1376823735840444
peroxisome,25,87.0,85.1813,2.227785965931198
peroxisome,26,39.0,38.95045,0.4955752188114333
peroxisome,28,72.0,70.12765,4.251006407605145
peroxisome,29,14.0,14.06425,0.4439841635689273
peroxisome,30,7.0,3.52595,1.2620723424194036
peroxisome,31,117.0,118.9108,3.601547356345603
peroxisome,32,126.0,125.9911,2.3951870052252704
peroxisome,33,345.0,345.40205,6.7719130087073625
peroxisome,34,62.0,60.8847,2.026303508855473
peroxisome,35,0.0,0.0,0.0
peroxisome,36,88.0,88.8561,2.8768546696001174
peroxisome,37,49.0,48.6853,1.44522105921551
peroxisome,38,46.0,45.7271,1.3050002260536204
peroxisome,39,9.0,8.68465,0.4646551167263738
peroxisome,40,249.0,259.76705,13.91386661922199
peroxisome,42,49.0,47.1281,3.194196360588998
peroxisome,43,151.0,151.57185,3.5788179022548774
peroxisome,44,232.0,233.09275,5.3965032602139695
peroxisome,46,91.0,91.0864,2.0583330731443827
peroxisome,47,120.0,121.3987,3.0313426579652787
peroxisome,48,125.0,121.9287,3.9940100538180916
peroxisome,49,29.0,29.17805,0.4771249286088498
peroxisome,50,101.0,100.418,2.9817068937103794
peroxisome,51,105.0,104.5523,1.962591325263617
peroxisome,52,76.0,75.15925,1.94804759631278
peroxisome,53,36.0,37.0491,1.480671871144988
peroxisome,56,191.0,192.54875,3.072397018209072
peroxisome,57,78.0,74.9463,5.17951892650273
peroxisome,59,79.0,77.47485,3.436897944004157
peroxisome,60,47.0,46.41505,1.183800446654756
peroxisome,61,74.0,71.06895,3.627877602331699
peroxisome,62,137.0,132.6417,5.739348491771519
peroxisome,63,84.0,81.51805,5.466239493243962
peroxisome,66,35.0,34.811,0.9489357196354241
peroxisome,67,98.0,96.9024,3.5507709360081225
peroxisome,68,121.0,119.8895,3.257129065603634
peroxisome,70,138.0,138.0812,3.8859756252452224
peroxisome,72,116.0,114.72305,2.4352923228023364
peroxisome,75,85.0,85.8648,2.737776645382161
peroxisome,76,40.0,38.60845,1.4344122829577277
peroxisome,77,38.0,36.6987,2.1050696686808257
peroxisome,78,255.0,255.12835,7.297477391366142
peroxisome,80,0.0,0.0,0.0
peroxisome,81,61.0,60.07955,1.8628531336366807
peroxisome,82,38.0,29.1631,3.968689757338056
peroxisome,85,58.0,57.8651,2.2787281518426017
peroxisome,87,30.0,28.89405,1.975151791002403
peroxisome,88,46.0,45.3033,1.1392142511397934
peroxisome,89,186.0,180.06435,6.144689502122952
peroxisome,90,114.0,110.47955,6.103554849225163
peroxisome,91,31.0,28.6684,2.7742821485926767
peroxisome,92,64.0,59.1746,5.271414880276453
peroxisome,93,39.0,36.81165,2.8669276721780057
peroxisome,94,81.0,81.3395,1.6677049349330355
peroxisome,95,14.0,13.824,1.1550428563477633
peroxisome,96,54.0,50.53635,3.3443801634234105
peroxisome,97,145.0,145.12675,4.016464171071366
peroxisome,99,5.0,5.67755,1.1177101580910855
peroxisome,100,80.0,74.09575,4.962265806816479
peroxisome,101,69.0,66.65505,2.1641070901182315
peroxisome,102,69.0,66.64275,1.42257598654694
peroxisome,103,124.0,122.12965,3.5458342992164766
peroxisome,105,17.0,17.01815,0.5647305352998012
peroxisome,108,52.0,47.58215,1.7800706102567951
peroxisome,109,0.0,0.0,0.0
peroxisome,112,102.0,97.11585,7.3187791862782685
peroxisome,113,54.0,53.1825,2.2504207939849827
peroxisome,115,30.0,28.9694,2.2263341258670044
peroxisome,116,34.0,27.00555,4.460596282729474
peroxisome,118,8.0,7.20905,0.9223600693330127
peroxisome,119,69.0,69.03035,1.7368733049649883
peroxisome,120,0.0,0.0,0.0
peroxisome,121,45.0,43.68615,2.1244642095126007
peroxisome,125,0.0,0.0,0.0
vacuole,1,1570.0,1579.0546,120.68495647279325
vacuole,2,679.0,675.9481,56.41665008124818
vacuole,3,659.0,686.10995,79.28573365364981
vacuole,4,630.0,635.88975,53.52023070706534
vacuole,5,608.0,607.78255,61.9160913292942
vacuole,6,185.0,190.7635,21.577899984706576
vacuole,7,1518.0,1530.7016,116.98388289606393
vacuole,8,934.0,960.6023,81.4271903893902
vacuole,9,955.0,975.4838,82.11527773538856
vacuole,10,1019.0,1033.92535,87.10159916659107
vacuole,11,3245.0,3223.0998,197.89181903241985
vacuole,12,954.0,959.1685,73.14095301368448
vacuole,13,751.0,763.1385,74.92521683485474
vacuole,14,1649.0,1663.94555,112.68493681587393
vacuole,15,1555.0,1572.04935,110.44624536206516
vacuole,16,3.0,0.0144,0.19746554129771604
vacuole,17,1327.0,1330.95605,90.6002517568108
vacuole,18,965.0,991.45155,84.41645486868956
vacuole,19,1349.0,1364.5265,103.41889236377463
vacuole,20,1833.0,1871.35165,138.35667563322522
vacuole,21,1215.0,1226.3881,66.02763495984087
vacuole,22,436.0,440.24615,58.05351117871769
vacuole,23,1258.0,1251.14305,79.11382930118792
vacuole,24,1559.0,1556.029,75.3754619156659
vacuole,25,1591.0,1603.9701,136.88627471733608
vacuole,26,809.0,828.8151,108.06778202586561
vacuole,28,822.0,811.38695,46.082699787420225
vacuole,29,538.0,546.91425,65.40079354975366
vacuole,30,696.0,735.2395,80.68550142218861
vacuole,31,1289.0,1283.29605,92.3828534112121
vacuole,32,1424.0,1440.55545,116.1868328396015
vacuole,33,3128.0,3123.59845,172.50026205080817
vacuole,34,795.0,810.90355,58.4341573687642
vacuole,35,115.0,121.30995,18.06372555696914
vacuole,36,676.0,704.9163,79.8600231299115
vacuole,37,740.0,742.0685,49.063403956003704
vacuole,38,1017.0,1019.97015,60.91082628710187
vacuole,39,716.0,719.8946,81.41935513647844
vacuole,40,1900.0,1885.70995,114.05869769990143
vacuole,42,358.0,382.33455,54.57381905545461
vacuole,43,1678.0,1684.62965,93.63967583710176
vacuole,44,1318.0,1312.1284,94.0906728291386
vacuole,46,1704.0,1697.19065,94.15941218262516
vacuole,47,1846.0,1854.21355,107.29399445634178
vacuole,48,1445.0,1463.8251,90.8704308892062
vacuole,49,598.0,614.8392,88.85361468933044
vacuole,50,1253.0,1243.77075,106.27432660072469
vacuole,51,1261.0,1280.04495,117.48533282711293
vacuole,52,1474.0,1468.39425,89.49055713837913
vacuole,53,1234.0,1243.8899,75.78333047570554
vacuole,56,1074.0,1090.88125,100.33819635830365
vacuole,57,670.0,679.0178,74.0538249056725
vacuole,59,1384.0,1398.7743,98.22386451117671
vacuole,60,1056.0,1062.7257,58.15392987159165
vacuole,61,1224.0,1238.0869,85.59887585938264
vacuole,62,1735.0,1745.91565,115.766145893683
vacuole,63,1371.0,1375.6699,89.66576790498145
vacuole,66,313.0,313.89245,17.238607339269027
vacuole,67,1240.0,1252.9019,83.50790547241621
vacuole,68,1058.0,1077.89055,82.16745749198705
vacuole,70,1348.0,1363.70185,123.92527489006228
vacuole,72,1292.0,1315.38005,115.84474615621332
vacuole,75,922.0,924.76925,65.00936012942675
vacuole,76,1298.0,1307.0964,88.47073079295774
vacuole,77,562.0,577.6698,60.79949068832732
vacuole,78,1461.0,1480.76785,121.63665465795046
vacuole,80,405.0,418.69915,39.871732333540514
vacuole,81,611.0,608.5774,46.267576219637874
vacuole,82,1108.0,1133.25185,107.44889120683145
vacuole,85,717.0,731.8568,68.02090556409846
vacuole,87,934.0,947.4652,69.54782303537617
vacuole,88,1014.0,1007.445,84.4731861302745
vacuole,89,1564.0,1577.63235,118.47373499420662
vacuole,90,1470.0,1483.37845,96.3603737311012
vacuole,91,1442.0,1460.2486,108.01822299056765
vacuole,92,779.0,799.76045,92.71583125765254
vacuole,93,672.0,673.4555,51.23259821393016
vacuole,94,1441.0,1450.01415,97.43886673077382
vacuole,95,1053.0,1068.06705,58.71540729908548
vacuole,96,778.0,782.6663,58.451085912153935
vacuole,97,860.0,865.1055,62.64360916925205
vacuole,99,568.0,588.2855,73.8600378401609
vacuole,100,821.0,863.9756,93.75694750065192
vacuole,101,870.0,868.86715,43.866861078466734
vacuole,102,984.0,1004.7409,91.28761891510808
vacuole,103,872.0,868.2435,63.35016186048777
vacuole,105,420.0,417.64235,37.878322778041536
vacuole,108,1397.0,1397.41045,81.67682707351884
vacuole,109,798.0,815.18,77.56745967221049
vacuole,112,1008.0,1015.9019,105.87585974333338
vacuole,113,454.0,464.8582,33.3720256016922
vacuole,115,247.0,251.0801,44.244891049588986
vacuole,116,555.0,565.93925,45.44096455223524
vacuole,118,613.0,621.0598,55.26516465152348
vacuole,119,702.0,718.56665,90.57907350915828
vacuole,120,951.0,974.4776,82.09294913840043
vacuole,121,730.0,715.9109,56.215980478774895
vacuole,125,431.0,438.929,37.34166786580374
ER,1,1562.0,1554.3586,122.61743720221851
ER,2,707.0,690.09525,86.38704808845769
ER,3,579.0,574.41495,88.55135440238901
ER,4,1074.0,1072.7321,89.35683090614842
ER,5,572.0,559.60285,91.25595170660104
ER,6,412.0,407.9738,51.155158230231294
ER,7,2025.0,2035.03645,138.5604392364484
ER,8,1598.0,1616.98155,106.83765117971052
ER,9,1395.0,1400.3694,109.63470182218767
ER,10,1876.0,1894.72155,137.92953931481645
ER,11,2722.0,2766.7896,180.41290871730882
ER,12,1842.0,1864.2603,127.16201769361007
ER,13,1389.0,1401.26795,99.63149930015858
ER,14,1979.0,1994.42095,118.22578928092423
ER,15,1918.0,1946.3603,132.64909190759656
ER,16,495.0,495.7699,42.76906187876933
ER,17,1391.0,1394.25655,98.9326676689631
ER,18,1510.0,1536.05955,101.17122221164229
ER,19,1829.0,1846.61495,128.75060499468538
ER,20,1938.0,1944.1852,136.6501525830103
ER,21,1315.0,1315.15645,93.46897652910029
ER,22,1580.0,1600.18445,109.18955915378311
ER,23,1856.0,1897.9702,116.0677052929022
ER,24,1354.0,1364.17475,113.4867693276952
ER,25,1528.0,1518.5383,118.97131979225077
ER,26,1504.0,1511.0615,123.00388944155384
ER,28,559.0,562.7761,42.52517570557469
ER,29,1187.0,1198.8512,85.93531554931302
ER,30,1334.0,1364.6394,94.81194897079166
ER,31,1481.0,1498.73105,112.23214653519507
ER,32,1701.0,1698.70005,114.0860757498368
ER,33,3039.0,3090.9569,213.8228950379028
ER,34,1256.0,1273.44415,86.69702925001238
ER,35,356.0,354.13705,31.070808925702273
ER,36,1608.0,1633.6768,111.53274201668316
ER,37,1338.0,1342.1773,84.93715126321344
ER,38,1253.0,1256.1071,91.59783856396395
ER,39,1249.0,1242.31535,88.33102458580167
ER,40,1997.0,2019.512,128.70762431184875
ER,42,1237.0,1238.00555,101.47074908168118
ER,43,1554.0,1545.54285,129.96113751378718
ER,44,1739.0,1743.18465,133.68257236595014
ER,46,1920.0,1938.7303,109.66344815803487
ER,47,2288.0,2322.0042,144.0521599364619
ER,48,2039.0,2052.45505,130.62127690195612
ER,49,1713.0,1736.45065,107.62056013874626
ER,50,2108.0,2117.88715,130.26640363070402
ER,51,1963.0,1973.79885,125.13499186349716
ER,52,1807.0,1835.70975,113.00891471444852
ER,53,1626.0,1646.8969,91.17215128749568
ER,56,2068.0,2086.2013,128.4690358736688
ER,57,1644.0,1666.68625,108.17067028976709
ER,59,1892.0,1919.13955,122.55366651307295
ER,60,1235.0,1242.97105,86.48073549581721
ER,61,1510.0,1528.66245,105.22904831840636
ER,62,2171.0,2212.5861,139.594569331296
ER,63,1609.0,1623.4365,121.30731992649908
ER,66,457.0,469.17615,29.256119380011764
ER,67,1798.0,1811.4096,109.08810672039368
ER,68,1409.0,1422.9381,107.21277707619554
ER,70,1977.0,1985.59995,123.43913848531793
ER,72,2100.0,2121.3156,118.45496400168294
ER,75,1265.0,1284.2065,90.35207002470946
ER,76,1857.0,1869.2701,118.27083218608888
ER,77,1427.0,1444.0399,105.22238311305252
ER,78,2176.0,2183.84575,135.80285658607295
ER,80,1226.0,1242.2021,87.29492399670212
ER,81,1278.0,1296.93755,101.49517156001806
ER,82,1041.0,1021.8616,98.14501080258741
ER,85,1485.0,1498.7175,92.44727250573702
ER,87,939.0,931.4265,88.92236781457184
ER,88,1097.0,1097.4542,85.68621360732426
ER,89,1299.0,1278.6912,129.83099569270814
ER,90,1748.0,1758.03515,110.52437068120994
ER,91,1810.0,1826.56885,125.75029805005434
ER,92,1457.0,1452.6612,107.55956589053342
ER,93,1111.0,1133.90575,85.13069932132298
ER,94,1587.0,1597.8735,133.84595958694456
ER,95,1237.0,1251.97515,82.08402422199767
ER,96,1115.0,1113.5408,100.31322612377691
ER,97,1311.0,1325.0322,105.89870756132957
ER,99,1320.0,1321.50145,115.9736836437366
ER,100,1260.0,1268.69335,104.04696254950213
ER,101,695.0,700.04885,52.43231220991022
ER,102,1481.0,1473.53295,101.31500537579564
ER,103,2179.0,2183.67555,164.17867700221456
ER,105,1207.0,1217.51775,101.83294253304037
ER,108,1231.0,1247.778,102.92308300862348
ER,109,1722.0,1740.1949,117.4380117934138
ER,112,1060.0,1049.6575,93.96412077889092
ER,113,424.0,416.7065,52.67992746530694
ER,115,612.0,606.83735,58.11546433590202
ER,116,843.0,846.2157,75.48181551546041
ER,118,964.0,959.287,65.71121693440169
ER,119,1217.0,1223.7462,104.34969614502957
ER,120,1214.0,1208.48315,86.60207339364052
ER,121,810.0,825.4325,67.94511640839244
ER,125,659.0,660.66935,62.08631588826559
golgi,1,202.0,187.25045,39.365523301456314
golgi,2,109.0,109.5225,28.208163601163406
golgi,3,133.0,118.65145,28.148073875444837
golgi,4,146.0,153.3915,34.44395487963018
golgi,5,67.0,53.15855,17.390707630729118
golgi,6,148.0,142.0399,28.225543537547686
golgi,7,316.0,321.20615,55.85783877109371
golgi,8,206.0,204.62735,41.71642580540068
golgi,9,259.0,254.59395,52.27045602821445
golgi,10,422.0,430.828,82.66636145373765
golgi,11,530.0,545.1242,95.41329558483974
