organelle,index,segmented,average,standard_deviation
vacuole,15,1555.0,1536.94355,343.36680148697764
vacuole,16,3.0,0.0008,0.053845705492638854
vacuole,17,1327.0,1287.244,267.80782879520154
vacuole,18,965.0,969.9908,231.7261317058566
vacuole,19,1349.0,1289.1995,309.1090262346766
vacuole,20,1833.0,1827.0936,421.61261786032924
vacuole,21,1215.0,1216.7159,234.6326330398012
vacuole,22,436.0,409.7441,134.72239834262896
vacuole,23,1258.0,1219.96835,227.30736602291952
vacuole,24,1559.0,1508.1875,222.41799757157693
vacuole,25,1591.0,1553.47645,372.6545013083802
vacuole,26,809.0,793.94025,251.67691229021685
vacuole,28,822.0,778.46595,137.6278378112419
vacuole,29,538.0,530.56055,162.85991444704095
vacuole,30,696.0,715.269,182.6027988257573
vacuole,31,1289.0,1233.2624,284.841068047148
vacuole,32,1424.0,1380.23735,331.9513131695332
vacuole,33,3128.0,3024.08235,626.4031696666912
vacuole,34,795.0,788.1156,167.17885313830814
vacuole,35,115.0,105.15535,31.803286251227245
vacuole,36,676.0,688.35035,197.51934362202982
vacuole,37,740.0,722.94165,156.13520789776246
vacuole,38,1017.0,991.7095,193.3876250170884
vacuole,39,716.0,686.4297,182.40982993772565
vacuole,40,1900.0,1816.68325,365.62255854834444
vacuole,42,358.0,353.8475,111.09306028618529
vacuole,43,1678.0,1637.2473,316.54583877016927
vacuole,44,1318.0,1260.8186,300.1156876839996
vacuole,46,1704.0,1659.42525,313.47504703315303
vacuole,47,1846.0,1823.00495,364.1259418463583
vacuole,48,1445.0,1433.46365,309.56494953188337
vacuole,49,598.0,573.3708,187.71493176452427
vacuole,50,1253.0,1197.5319,300.127789087232
vacuole,51,1261.0,1235.22365,323.80746815148893
vacuole,52,1474.0,1430.78325,268.71614199641505
vacuole,53,1234.0,1206.01925,227.74406573923613
vacuole,56,1074.0,1028.96445,268.2634803438543
vacuole,57,670.0,658.68345,187.02889601903095
vacuole,59,1384.0,1380.8654,301.25095814426885
vacuole,60,1056.0,1046.43765,171.51733297972393
vacuole,61,1224.0,1205.03435,232.943989126308
vacuole,62,1735.0,1713.60575,352.7701450192993
vacuole,63,1371.0,1360.7994,275.6450448668359
vacuole,66,313.0,299.57495,60.185412539065474
vacuole,67,1240.0,1224.6188,262.2584333945431
vacuole,68,1058.0,1035.62555,247.97409932732393
vacuole,70,1348.0,1314.27255,347.45846365644553
vacuole,72,1292.0,1257.28335,319.4606590220109
vacuole,75,922.0,900.44855,181.33289953259307
vacuole,76,1298.0,1290.3562,264.0341953640854
vacuole,77,562.0,564.51845,159.53043458725205
vacuole,78,1461.0,1417.95595,355.2600121173188
vacuole,80,405.0,415.03895,104.3728701957434
vacuole,81,611.0,587.1139,140.35032677835133
vacuole,82,1108.0,1107.09025,280.62511007559084
vacuole,85,717.0,707.1171,180.7833053342869
