organelle,index,segmented,average,standard_deviation
vacuole,15,1555.0,1512.41775,207.36905756389382
vacuole,16,3.0,0.0024,0.08058684756211774
vacuole,17,1327.0,1285.2534,171.7432606783742
vacuole,18,965.0,954.3323,149.34261909016462
vacuole,19,1349.0,1295.0666,208.5674765260394
vacuole,20,1833.0,1820.6292,259.5969316216199
vacuole,21,1215.0,1195.7385,130.5503225493909
vacuole,22,436.0,414.4913,93.68970820911976
vacuole,23,1258.0,1201.8237,141.79900041364888
vacuole,24,1559.0,1506.8295,141.51339911736272
vacuole,25,1591.0,1555.6659,237.64554146288967
vacuole,26,809.0,807.6288,184.45912829285518
vacuole,28,822.0,776.8851,90.76567632089785
vacuole,29,538.0,528.30925,109.84448968627193
vacuole,30,696.0,715.66525,122.24047362652641
vacuole,31,1289.0,1239.86945,180.97836115596112
vacuole,32,1424.0,1389.89845,210.46397064010148
vacuole,33,3128.0,2993.1925,373.915225209873
vacuole,34,795.0,778.953,104.43616562762155
vacuole,35,115.0,108.6234,23.538633614549507
vacuole,36,676.0,681.04935,133.90264864661006
vacuole,37,740.0,712.50995,96.6270221056072
vacuole,38,1017.0,986.0135,115.0603485904245
vacuole,39,716.0,691.90625,127.6360539226182
vacuole,40,1900.0,1804.4643,231.21514705033925
vacuole,42,358.0,368.87985,87.47377615021259
vacuole,43,1678.0,1621.8085,188.8167469472716
vacuole,44,1318.0,1245.0905,197.0306055153615
vacuole,46,1704.0,1632.9996,185.29015920938707
vacuole,47,1846.0,1789.55975,214.34187698613047
vacuole,48,1445.0,1417.799,182.45636108121855
vacuole,49,598.0,591.93525,138.0231214595493
vacuole,50,1253.0,1196.8523,198.19984859910969
vacuole,51,1261.0,1232.81855,209.44011656293907
vacuole,52,1474.0,1412.81185,173.92703024423056
vacuole,53,1234.0,1201.61455,134.44671278353184
vacuole,56,1074.0,1022.92205,186.29867169091008
vacuole,57,670.0,653.61495,123.6742733412956
vacuole,59,1384.0,1354.12865,182.50600976180894
vacuole,60,1056.0,1037.189,101.94901019136968
vacuole,61,1224.0,1198.6787,148.31148865246413
vacuole,62,1735.0,1695.2965,217.76513262629993
vacuole,63,1371.0,1341.99815,161.4307800469833
vacuole,66,313.0,298.61425,38.520208293018094
vacuole,67,1240.0,1214.4822,160.84021289205012
vacuole,68,1058.0,1025.55355,154.15373732867295
vacuole,70,1348.0,1310.55355,228.61062340232027
vacuole,72,1292.0,1255.88285,208.26651537363728
vacuole,75,922.0,887.93705,121.68441965715043
vacuole,76,1298.0,1277.3225,157.66164813850577
vacuole,77,562.0,559.94875,108.57420146350375
vacuole,78,1461.0,1417.69955,232.95262260768286
vacuole,80,405.0,411.08385,66.51999713753376
vacuole,81,611.0,587.1348,89.11139617893998
vacuole,82,1108.0,1111.7827,186.28240223035024
vacuole,85,717.0,700.88735,121.6337607737979
vacuole,87,934.0,921.49375,121.95105887583551
vacuole,88,1014.0,979.62035,146.5967026091566
vacuole,89,1564.0,1528.8655,214.8523423417813
vacuole,90,1470.0,1430.51535,185.5219126259146
vacuole,91,1442.0,1392.98615,188.11359854666938
vacuole,92,779.0,764.4133,158.28994751123648
vacuole,93,672.0,653.519,96.29190951995915
vacuole,94,1441.0,1402.1868,189.79918336431268
vacuole,95,1053.0,1050.22245,103.64145100295296
vacuole,96,778.0,760.5553,107.01858035831908
vacuole,97,860.0,792.2202,122.78966533043406
vacuole,99,568.0,574.7368,121.2431496034312
vacuole,100,821.0,845.0566,162.822194115053
vacuole,101,870.0,831.1404,85.11355995280658
vacuole,102,984.0,965.08555,160.98412291650845
vacuole,103,872.0,834.83755,124.55288780272218
vacuole,105,420.0,389.2102,58.68264578186638
vacuole,108,1397.0,1363.339,149.27004313994152
vacuole,109,798.0,799.63415,123.39408050541768
vacuole,112,1008.0,974.9141,177.05214350916512
vacuole,113,454.0,456.16065,59.00654151513627
vacuole,115,247.0,222.55085,53.21973707448676
vacuole,116,555.0,552.07665,81.98509361327521
vacuole,118,613.0,599.83785,95.58489136562065
vacuole,119,702.0,692.30085,163.06909897119536
vacuole,120,951.0,954.507,138.36827039101124
vacuole,121,730.0,683.9782,102.07780084210279
vacuole,125,431.0,432.56495,57.840681889976885
ER,1,1562.0,1638.72785,361.2534068827276
ER,2,707.0,674.95545,193.03519592369028
ER,3,579.0,558.01265,175.4582844723426
ER,4,1074.0,1119.0655,239.007272294694
ER,5,572.0,541.3482,174.85004591580753
ER,6,412.0,412.25065,119.07842510118068
ER,7,2025.0,2165.72835,423.04274566085815
ER,8,1598.0,1745.28285,341.40552579868637
ER,9,1395.0,1478.7441,314.4739266063086
ER,10,1876.0,2035.66135,421.22723780185146
ER,11,2722.0,2975.2546,586.0985801713224
ER,12,1842.0,2010.85435,401.724730550756
ER,13,1389.0,1494.88125,308.27194787790455
ER,14,1979.0,2129.61785,398.62504664330555
ER,15,1918.0,2096.11575,421.94663175801924
ER,16,495.0,515.3467,116.09582205708352
ER,17,1391.0,1474.79995,295.0573754882218
ER,18,1510.0,1629.48895,315.27528110826813
ER,19,1829.0,1980.3212,411.7537529040385
ER,20,1938.0,2064.428,424.95363890193954
ER,21,1315.0,1379.8247,271.5147041504567
ER,22,1580.0,1724.6607,346.5407629349107
ER,23,1856.0,2025.13285,361.99533132469753
ER,24,1354.0,1455.35205,322.1062118475791
ER,25,1528.0,1612.7052,357.0315263292025
ER,26,1504.0,1607.16925,354.58035944541194
ER,28,559.0,592.75455,119.05197900202037
ER,29,1187.0,1285.311,270.2169437304034
ER,30,1334.0,1475.01375,298.1143545033307
ER,31,1481.0,1622.8664,359.8962840194936
ER,32,1701.0,1803.16745,360.1008338097782
ER,33,3039.0,3346.96745,687.6024252360498
ER,34,1256.0,1344.90275,253.26723612113256
ER,35,356.0,369.4679,81.84865282697083
ER,36,1608.0,1765.6192,348.91528856064764
ER,37,1338.0,1421.74565,262.457016968641
ER,38,1253.0,1347.24445,293.75856599288727
ER,39,1249.0,1334.91025,295.0655891406816
ER,40,1997.0,2172.8118,414.7805605145449
ER,42,1237.0,1304.23565,286.8172353940354
ER,43,1554.0,1652.7369,381.7992030876832
ER,44,1739.0,1889.75855,416.4845786483546
ER,46,1920.0,2044.98415,359.348589671335
ER,47,2288.0,2500.5639,467.8245326153707
ER,48,2039.0,2184.9167,414.90517405921804
ER,49,1713.0,1850.6722,341.01732778139
ER,50,2108.0,2240.48305,423.79026665639395
ER,51,1963.0,2096.3854,415.29970318655415
ER,52,1807.0,1940.5707,350.50101069969827
ER,53,1626.0,1735.226,305.3404927683192
ER,56,2068.0,2228.34075,415.7332537089588
ER,57,1644.0,1771.76605,340.9968593952113
ER,59,1892.0,2075.08145,415.82804464814234
ER,60,1235.0,1287.06415,252.27967919508995
ER,61,1510.0,1618.3791,317.42874583627423
ER,62,2171.0,2355.2616,454.4919715082325
ER,63,1609.0,1718.47715,362.3821656454378
ER,66,457.0,502.3148,86.68431461896668
ER,67,1798.0,1939.70625,360.43147026992176
ER,68,1409.0,1539.28465,350.73760010066997
ER,70,1977.0,2128.9406,421.9936157948838
ER,72,2100.0,2268.919,411.48465055090446
ER,75,1265.0,1374.8269,274.0028394677508
ER,76,1857.0,1978.47725,367.0077583409341
ER,77,1427.0,1564.92125,330.89930258076623
ER,78,2176.0,2345.99015,462.7847434315197
ER,80,1226.0,1324.6977,274.6503419162445
ER,81,1278.0,1392.9245,300.1793062483655
ER,82,1041.0,1061.8504,264.7004346801116
ER,85,1485.0,1574.7158,289.83777450560166
ER,87,939.0,949.2122,234.00948350688694
ER,88,1097.0,1159.62125,249.07187416173167
ER,89,1299.0,1328.86825,341.39057777264077
ER,90,1748.0,1876.95865,366.463928156889
ER,91,1810.0,1965.0289,420.3994873507697
ER,92,1457.0,1547.64425,330.69238771392594
ER,93,1111.0,1197.30945,255.97153375072295
ER,94,1587.0,1718.7488,393.3322692057696
ER,95,1237.0,1319.83795,246.91170079564375
ER,96,1115.0,1154.86745,266.20554686275324
ER,97,1311.0,1416.54955,318.708642720585
ER,99,1320.0,1404.7914,317.05970586947814
ER,100,1260.0,1351.1776,303.20494646070665
ER,101,695.0,747.6501,152.67809197782765
ER,102,1481.0,1593.88675,339.7448538601247
ER,103,2179.0,2317.87265,481.5976823365925
ER,105,1207.0,1304.6082,293.1537864206431
ER,108,1231.0,1319.1369,291.0820605231281
ER,109,1722.0,1847.835,353.91221775321634
ER,112,1060.0,1084.4988,253.22919104747777
ER,113,424.0,429.7471,119.08309637219718
ER,115,612.0,626.7554,157.081378816332
ER,116,843.0,896.1655,210.31440989563697
ER,118,964.0,1008.5821,211.05349786153747
ER,119,1217.0,1298.41985,296.502843453444
ER,120,1214.0,1284.88755,279.67262201545134
ER,121,810.0,879.9685,192.0136336507124
ER,125,659.0,690.0464,159.606279159186
golgi,1,202.0,189.1001,60.67006082072112
golgi,2,109.0,111.0331,41.46352981102791
golgi,3,133.0,96.80845,30.210889735284198
golgi,4,146.0,152.63385,50.88688125811504
golgi,5,67.0,50.84505,23.360225608874156
golgi,6,148.0,146.2564,44.84971526152646
golgi,7,316.0,319.7771,93.60331733218646
golgi,8,206.0,201.6695,61.61677912508897
golgi,9,259.0,251.6064,79.2682930246388
golgi,10,422.0,438.8545,129.52062279710518
golgi,11,530.0,559.89075,156.14919857123027
golgi,12,294.0,290.5851,84.18043037422652
golgi,13,290.0,279.64525,81.27843196345202
golgi,14,370.0,359.95805,113.48510646863534
golgi,15,334.0,315.8523,103.56664754982657
golgi,16,114.0,112.4692,31.069994389442687
golgi,17,220.0,200.1345,60.536276807795176
golgi,18,330.0,318.3096,84.20188149821831
golgi,19,367.0,378.00995,105.05095740162248
golgi,20,529.0,533.2477,149.79697775559424
golgi,21,246.0,250.04875,79.64637012091323
golgi,22,185.0,184.96905,58.19930405165941
golgi,23,387.0,403.1528,118.97423230330172
golgi,24,186.0,186.3392,51.845829565742314
golgi,25,249.0,254.5921,77.12440805341717
golgi,26,311.0,314.08625,89.15570599203116
golgi,28,114.0,111.4294,31.23999064724572
golgi,29,227.0,228.2907,66.64964436146678
golgi,30,315.0,306.263,91.46026968580401
golgi,31,213.0,218.62245,64.60331188102897
golgi,32,286.0,289.8935,90.46953939172013
