loc,scale,statistic,p_value,segment,z_score
97.3142,4.595104988896979,19.32050634138068,0.0001,98,0.1492457738521926
138.5464,5.546361262334543,13.9679848624437,0.0001,122,-2.9832892625236944
202.6956,6.670336571642985,9.501536090483569,0.0001,196,-1.0037874293276936
133.139,5.298838247076132,14.631418464367016,0.0001,133,-0.026232165149919304
88.329,4.414918815880433,20.840725462070623,0.0001,88,-0.07452005659007427
89.1619,4.400616426421786,21.24964121526864,0.0001,80,-2.081958324063635
30.4826,2.616368050977885,59.50058557624652,0.0001,32,0.5799642750693504
338.5369,8.253887027037958,6.097000057270634,0.0001,316,-2.7304589857086685
104.1063,5.211863070118608,14.955975255843441,0.0001,110,1.130824029854236
29.8847,3.0583232733189623,43.00566232622987,0.0001,37,2.326536263211415
80.53,4.312651144712449,22.628112376492936,0.0001,82,0.3408576188227747
37.5097,3.6558230830062635,30.17474718021731,0.0001,39,0.40765101761283573
53.7102,3.5251466105486426,33.00439886036111,0.0001,53,-0.2014667979694232
174.9598,5.934231666403584,11.632515042399973,0.0001,165,-1.6783638657700224
88.1548,4.29078990953936,23.85930443999314,0.0001,72,-3.7649944044299066
167.1561,5.910805913972752,11.602639254839232,0.0001,154,-2.225770934027772
30.125,3.1549596474499806,40.57167595168903,0.0001,33,0.9112636360733615
9.843,2.0268600879640455,99.02121918779085,0.0001,10,0.07745971265224551
5.7781,1.7238786400894281,136.270708827009,0.0001,6,0.12872135824392397
52.8614,4.178030114008678,23.629497156518482,0.0001,55,0.5118680195313582
56.8527,3.4928817232012346,34.19355179606282,0.0001,56,-0.24412507138045805
168.1007,6.294880623348327,10.440887847915292,0.0001,178,1.572595350463445
16.6805,2.613255184681746,61.069313771788075,0.0001,18,0.5049258134967389
91.6642,4.331387127866216,23.48106625352193,0.0001,80,-2.6929479299963113
35.3132,3.2300695185877175,39.16489539889699,0.0001,36,0.2126270026226208
88.558,5.02469509085632,16.146615219902742,0.0001,98,1.8791189971272197
56.6772,3.4334208885453865,34.298801619959704,0.0001,55,-0.488492397071239
42.1957,2.9220293180482555,47.32692717333521,0.0001,45,0.9597097409936688
116.0089,5.055272135863386,16.172977201855247,0.0001,122,1.1851191862644972
114.9261,4.697408365741205,18.358190403658227,0.0001,111,-0.8358012960153839
110.9795,5.082151372820139,15.98226554754001,0.0001,118,1.3814031666877034
36.6933,3.25633159852432,38.93474987783884,0.0001,37,0.09418573960311269
120.9968,5.174694919195786,15.151519792279942,0.0001,122,0.19386650143926107
144.2982,5.543748738444726,13.703663784534001,0.0001,121,-4.202607495255316
92.8594,4.8772543916675195,17.000048545993195,0.0001,97,0.8489612530923052
4.9926,1.5585853068779654,171.71607433609825,0.0001,5,0.004747895394203814
11.3991,2.1280206853326686,92.42975643637146,0.0001,9,-1.1273856577314965
64.9879,3.6389116171976172,30.641551545168113,0.0001,64,-0.27148227380163564
107.603,4.613883374336546,19.4689091492437,0.0001,101,-1.4311154973546494
22.5835,2.31697315186401,75.52054291782588,0.0001,23,0.179760391122756
21.2224,3.117260010168722,42.614912506405744,0.0001,19,-0.7129337920963843
224.8606,6.814118494793447,8.894528953849658,0.0001,227,0.3139657758570935
60.6842,3.4394844621449496,34.505614626694296,0.0001,64,0.964039825297593
55.2836,3.7629758222321694,30.03809903292131,0.0001,50,-1.4041015009407654
22.584,2.5996576355324557,60.170163182818214,0.0001,21,-0.6093110024757428
126.3279,4.8985693001241515,17.94936350784701,0.0001,115,-2.3124915268041426
87.7669,4.345716617002486,21.632088303918863,0.0001,85,-0.6366959109056015
201.8807,6.153734992298218,11.291799034468568,0.0001,179,-3.7181809142962137
79.4132,4.037709260163114,25.04564021938313,0.0001,85,1.3836558404837458
179.5992,6.133475467639144,11.20578053780082,0.0001,164,-2.543288887728173
40.8934,3.4217842276698387,34.98144097867953,0.0001,33,-2.306808224835157
76.6734,3.893565002005551,26.950496077541175,0.0001,69,-1.9707902644613562
123.9802,4.947995172352391,16.570358006829338,0.0001,119,-1.006508661897561
73.8388,4.00340071460854,25.896639577102178,0.0001,71,-0.709097140748647
89.8153,4.324818645403708,22.23742420245435,0.0001,83,-1.5758579859164956
38.0616,3.03857347004697,43.68857978250708,0.0001,45,2.2834399327170942
47.0481,3.495655639624001,34.85750114959956,0.0001,36,-3.1605229859507418
234.1491,6.573613194358404,9.68012593201638,0.0001,214,-3.065148405338533
94.5464,4.507912950348175,20.217207860128838,0.0001,95,0.10062306104756526
176.3991,5.949349432153618,11.771757337666713,0.0001,177,0.10100264017984815
108.7924,4.72767779504202,18.131087112129535,0.0001,104,-1.013690062598144
425.5462,9.491210347863264,5.138592148259704,0.0001,364,-6.484547043450129
212.2694,6.629526280351424,10.242995339434856,0.0001,175,-5.621728977899817
43.4767,3.1217673925462988,41.58871202156479,0.0001,46,0.8082921251675468
41.9394,3.0132765594220445,44.93088821204583,0.0001,43,0.35197565808676623
58.5342,4.341142120628067,21.46409696680712,0.0001,58,-0.12305517422744768
150.5555,5.791292917593249,12.534242851505041,0.0001,161,1.803483289244596
107.9748,5.014028221689702,16.896611759379084,0.0001,90,-3.584902039889713
14.6817,2.908922703189157,50.94755828501002,0.0001,11,-1.2656575563055072
221.9033,6.447503868987909,10.258125766378726,0.0001,208,-2.1563849022059536
7.9896,1.7799462522408047,135.26702392270818,0.0001,6,-1.1177865609679274
8.0246,1.9712897905543554,105.08320259015454,0.0001,7,-0.5197612268421818
95.1905,4.413474552522374,21.271841563684575,0.0001,96,0.18341558116322595
11.6525,2.165736085325063,88.75838950091747,0.0001,10,-0.7630200240912411
52.4867,3.665073858278802,30.184700247416913,0.0001,57,1.2314349381541645
2.6846,1.361362615476524,238.23109769150324,0.0001,1,-1.2374366541645716
