condition,minute,OD
0,0,0.126
0,90,0.161
0,180,0.179
0,270,0.186
25,0,0.113
25,90,0.161
25,180,0.196
25,270,0.223
50,0,0.231
50,90,0.393
50,180,0.530
50,270,0.653
50,360,0.761
75,0,0.129
75,90,0.255
75,180,0.478
75,270,0.797
75,360,1.92
100,0,0.101
100,90,0.200
100,180,0.448
100,270,0.901
100,360,2.59
