condition,minute,OD
0,0,0.097
0,90,0.109
0,180,0.119
0,270,0.126
25,0,0.104
25,90,0.126
25,180,0.140
25,270,0.152
50,0,0.1
50,90,0.147
50,180,0.185
50,270,0.227
75,0,0.037
75,90,0.059
75,180,0.093
75,270,0.143
100,0,0.108
100,90,0.171
100,180,0.317
100,270,0.571
