condition,minute,OD
0,0,0.132
0,90,0.139
0,180,0.138
0,270,0.135
0.5,0,0.122
0.5,90,0.131
0.5,180,0.159
0.5,270,0.182
0.5,360,0.190
5,0,0.155
5,90,0.208
5,180,0.306
5,270,0.414
50,0,0.092
50,90,0.208
50,180,0.293
50,270,0.598
50,360,1.485
100,0,0.145
100,90,0.256
100,180,0.525
100,270,1.425
200,0,0.074
200,90,0.133
200,180,0.251
200,270,0.531
200,360,1.42
