condition,minute,OD
0,0,0.140
0,90,0.268
0,180,0.568
0,270,1.56
100,0,0.194
100,90,0.391
100,180,0.727
100,270,1.65
100,360,2.13
200,0,0.180
200,90,0.354
200,180,0.655
200,280,1.24
400,0,0.163
400,90,0.278
400,180,0.354
400,270,0.423
400,360,0.485
1000,0,0.160
1000,90,0.252
1000,180,0.307
1000,270,0.364
