condition,minute,OD
0,0,0.172
0,90,0.342
0,180,0.730
0,270,1.92
500,0,0.095
500,90,0.258
500,180,0.425
500,270,0.657
500,360,1.11
1500,0,0.155
1500,90,0.331
1500,180,0.559
1500,270,0.821
3000,0,0.167
3000,90,0.337
3000,180,0.568
3000,270,0.95
