condition,minute,OD
0,0,0.157
0,90,0.299
0,270,1.45
100,0,0.141
100,90,0.245
100,180,0.492
100,270,1.20
150,0,0.154
150,90,0.278
150,180,0.546
150,270,1.17
200,0,0.139
200,90,0.238
200,180,0.474
250,0,0.128
250,90,0.212
250,180,0.326
250,270,0.487
300,0,0.164
300,90,0.293
300,180,0.393
300,270,0.499
